,time_us,GGA,lat,lon
2748,1665744871908.429,GGA,46.0676919,11.1508046
2750,1665744872022.746,GGA,46.0676943,11.1508044
2752,1665744872116.2363,GGA,46.0676968,11.1508044
2754,1665744872211.8538,GGA,46.0676993,11.1508044
2756,1665744872307.5303,GGA,46.0677017,11.1508043
2758,1665744872407.5256,GGA,46.0677042,11.1508042
2760,1665744872510.0264,GGA,46.0677066,11.1508041
2762,1665744872612.1719,GGA,46.0677091,11.1508040
2764,1665744872713.0002,GGA,46.0677116,11.1508038
2766,1665744872806.2903,GGA,46.0677140,11.1508037
2768,1665744872907.3481,GGA,46.0677165,11.1508036
2770,1665744873019.9783,GGA,46.0677188,11.1508035
2772,1665744873108.4092,GGA,46.0677212,11.1508034
2774,1665744873207.609,GGA,46.0677237,11.1508034
2776,1665744873307.5823,GGA,46.0677261,11.1508032
2778,1665744873407.3599,GGA,46.0677284,11.1508030
2780,1665744873509.3635,GGA,46.0677308,11.1508029
2782,1665744873607.4998,GGA,46.0677332,11.1508028
2784,1665744873706.9966,GGA,46.0677356,11.1508027
2786,1665744873807.384,GGA,46.0677379,11.1508026
2788,1665744873907.2861,GGA,46.0677402,11.1508026
2790,1665744874018.2683,GGA,46.0677425,11.1508027
2792,1665744874106.3176,GGA,46.0677448,11.1508029
2794,1665744874208.896,GGA,46.0677471,11.1508032
2796,1665744874307.0815,GGA,46.0677493,11.1508035
2798,1665744874407.4255,GGA,46.0677514,11.1508040
2800,1665744874508.8499,GGA,46.0677535,11.1508046
2802,1665744874607.396,GGA,46.0677556,11.1508055
2804,1665744874707.4746,GGA,46.0677576,11.1508066
2806,1665744874807.3477,GGA,46.0677594,11.1508079
2808,1665744874907.4976,GGA,46.0677611,11.1508094
2810,1665744875021.6355,GGA,46.0677626,11.1508109
2812,1665744875107.9204,GGA,46.0677641,11.1508125
2814,1665744875207.4019,GGA,46.0677656,11.1508143
2816,1665744875307.9736,GGA,46.0677669,11.1508161
2818,1665744875408.175,GGA,46.0677681,11.1508179
2820,1665744875509.6626,GGA,46.0677693,11.1508199
2822,1665744875608.1465,GGA,46.0677704,11.1508220
2824,1665744875707.6282,GGA,46.0677714,11.1508240
2826,1665744875808.0103,GGA,46.0677723,11.1508262
2828,1665744875908.1956,GGA,46.0677730,11.1508284
2830,1665744876019.8218,GGA,46.0677737,11.1508306
2832,1665744876112.7385,GGA,46.0677743,11.1508328
2834,1665744876208.5486,GGA,46.0677748,11.1508351
2836,1665744876308.5884,GGA,46.0677752,11.1508373
2838,1665744876409.3662,GGA,46.0677755,11.1508395
2840,1665744876509.298,GGA,46.0677758,11.1508417
2842,1665744876608.8157,GGA,46.0677760,11.1508439
2844,1665744876708.7905,GGA,46.0677761,11.1508460
2846,1665744876808.662,GGA,46.0677762,11.1508482
2848,1665744876908.8103,GGA,46.0677761,11.1508504
2850,1665744877018.7754,GGA,46.0677760,11.1508525
2852,1665744877106.8662,GGA,46.0677759,11.1508546
2854,1665744877209.4756,GGA,46.0677755,11.1508566
2856,1665744877307.6865,GGA,46.0677752,11.1508587
2858,1665744877407.907,GGA,46.0677749,11.1508607
2860,1665744877510.3384,GGA,46.0677744,11.1508628
2862,1665744877607.7612,GGA,46.0677739,11.1508647
2864,1665744877707.6882,GGA,46.0677733,11.1508666
2866,1665744877807.9363,GGA,46.0677727,11.1508684
2868,1665744877907.9084,GGA,46.0677720,11.1508701
2870,1665744878018.8914,GGA,46.0677713,11.1508717
2872,1665744878112.9634,GGA,46.0677706,11.1508734
2874,1665744878210.074,GGA,46.0677698,11.1508749
2876,1665744878307.688,GGA,46.0677691,11.1508762
2878,1665744878407.6763,GGA,46.0677684,11.1508774
2880,1665744878509.1038,GGA,46.0677678,11.1508784
2882,1665744878607.376,GGA,46.0677671,11.1508793
2884,1665744878707.5835,GGA,46.0677665,11.1508802
2886,1665744878807.805,GGA,46.0677659,11.1508810
2888,1665744878907.8386,GGA,46.0677652,11.1508818
2890,1665744879020.8337,GGA,46.0677646,11.1508826
2892,1665744879108.873,GGA,46.0677639,11.1508832
2894,1665744879207.811,GGA,46.0677633,11.1508839
2896,1665744879307.3047,GGA,46.0677627,11.1508845
2898,1665744879407.8,GGA,46.0677621,11.1508852
2900,1665744879509.5188,GGA,46.0677614,11.1508859
2902,1665744879607.7615,GGA,46.0677607,11.1508865
2904,1665744879709.5132,GGA,46.0677599,11.1508872
2906,1665744879808.493,GGA,46.0677591,11.1508877
2908,1665744879907.896,GGA,46.0677582,11.1508883
2910,1665744880017.9155,GGA,46.0677574,11.1508889
2912,1665744880106.3074,GGA,46.0677565,11.1508894
2914,1665744880208.1794,GGA,46.0677556,11.1508898
2916,1665744880311.137,GGA,46.0677546,11.1508902
2918,1665744880408.0332,GGA,46.0677537,11.1508907
2920,1665744880509.5374,GGA,46.0677527,11.1508911
2922,1665744880607.3,GGA,46.0677517,11.1508914
2924,1665744880707.723,GGA,46.0677506,11.1508917
2926,1665744880808.612,GGA,46.0677495,11.1508920
2928,1665744880907.5063,GGA,46.0677483,11.1508923
2930,1665744881022.8416,GGA,46.0677471,11.1508926
2932,1665744881108.613,GGA,46.0677458,11.1508930
2934,1665744881208.1965,GGA,46.0677445,11.1508937
2936,1665744881307.6133,GGA,46.0677431,11.1508939
2938,1665744881408.8716,GGA,46.0677417,11.1508942
2940,1665744881509.367,GGA,46.0677402,11.1508945
2942,1665744881608.179,GGA,46.0677388,11.1508946
2944,1665744881708.654,GGA,46.0677372,11.1508948
2946,1665744881810.8884,GGA,46.0677357,11.1508949
2948,1665744881907.683,GGA,46.0677340,11.1508950
2950,1665744882027.601,GGA,46.0677324,11.1508951
2952,1665744882113.2834,GGA,46.0677307,11.1508953
2954,1665744882207.741,GGA,46.0677290,11.1508953
2956,1665744882307.1274,GGA,46.0677273,11.1508953
2958,1665744882407.954,GGA,46.0677256,11.1508954
2960,1665744882509.8281,GGA,46.0677239,11.1508953
2962,1665744882608.5916,GGA,46.0677222,11.1508954
2964,1665744882707.2576,GGA,46.0677204,11.1508955
2966,1665744882808.0942,GGA,46.0677187,11.1508955
2968,1665744882906.9192,GGA,46.0677169,11.1508956
2970,1665744883029.253,GGA,46.0677152,11.1508955
2972,1665744883108.58,GGA,46.0677135,11.1508954
2974,1665744883208.4526,GGA,46.0677118,11.1508954
2976,1665744883307.2458,GGA,46.0677101,11.1508955
2978,1665744883408.589,GGA,46.0677084,11.1508956
2980,1665744883509.4182,GGA,46.0677067,11.1508957
2982,1665744883608.0503,GGA,46.0677049,11.1508957
2984,1665744883707.1074,GGA,46.0677033,11.1508957
2986,1665744883807.8623,GGA,46.0677016,11.1508956
2988,1665744883907.128,GGA,46.0677000,11.1508956
2990,1665744884020.5298,GGA,46.0676985,11.1508957
2992,1665744884109.975,GGA,46.0676971,11.1508957
2994,1665744884208.0955,GGA,46.0676955,11.1508957
2996,1665744884307.7039,GGA,46.0676942,11.1508957
2998,1665744884407.95,GGA,46.0676930,11.1508956
3000,1665744884509.3438,GGA,46.0676918,11.1508956
3002,1665744884608.1787,GGA,46.0676908,11.1508956
3004,1665744884707.5286,GGA,46.0676899,11.1508956
3006,1665744884807.6897,GGA,46.0676890,11.1508956
3008,1665744884907.327,GGA,46.0676883,11.1508956
3010,1665744885019.9268,GGA,46.0676876,11.1508956
3012,1665744885107.2886,GGA,46.0676870,11.1508956
3014,1665744885210.9954,GGA,46.0676866,11.1508956
3016,1665744885307.5906,GGA,46.0676863,11.1508956
3018,1665744885408.0527,GGA,46.0676860,11.1508956
3020,1665744885508.5784,GGA,46.0676859,11.1508956
3022,1665744885607.8796,GGA,46.0676859,11.1508956
3024,1665744885710.545,GGA,46.0676859,11.1508956
3026,1665744885807.9038,GGA,46.0676860,11.1508956
3028,1665744885910.5376,GGA,46.0676860,11.1508956
3030,1665744886020.2322,GGA,46.0676860,11.1508956
3032,1665744886107.5288,GGA,46.0676859,11.1508956
3034,1665744886211.908,GGA,46.0676860,11.1508956
3036,1665744886308.0496,GGA,46.0676860,11.1508956
3038,1665744886408.9138,GGA,46.0676860,11.1508956
3040,1665744886509.2207,GGA,46.0676860,11.1508956
3042,1665744886607.494,GGA,46.0676860,11.1508956
3044,1665744886707.7585,GGA,46.0676860,11.1508956
3046,1665744886807.7974,GGA,46.0676860,11.1508956
3048,1665744886907.502,GGA,46.0676860,11.1508956
3050,1665744887022.6177,GGA,46.0676860,11.1508956
3052,1665744887108.064,GGA,46.0676860,11.1508957
3054,1665744887208.0176,GGA,46.0676860,11.1508956
3056,1665744887307.5498,GGA,46.0676860,11.1508956
3058,1665744887408.1013,GGA,46.0676860,11.1508956
3060,1665744887509.306,GGA,46.0676860,11.1508956
3062,1665744887608.164,GGA,46.0676860,11.1508956
3064,1665744887707.8662,GGA,46.0676860,11.1508956
3066,1665744887807.765,GGA,46.0676860,11.1508956
3068,1665744887907.3186,GGA,46.0676860,11.1508956
3070,1665744888019.5166,GGA,46.0676860,11.1508956
3072,1665744888112.701,GGA,46.0676860,11.1508956
3074,1665744888207.7542,GGA,46.0676860,11.1508956
3076,1665744888307.3567,GGA,46.0676860,11.1508956
3078,1665744888407.3965,GGA,46.0676860,11.1508956
3080,1665744888508.4246,GGA,46.0676860,11.1508956
3082,1665744888607.296,GGA,46.0676860,11.1508956
3084,1665744888707.4695,GGA,46.0676860,11.1508956
3086,1665744888807.3801,GGA,46.0676860,11.1508956
3088,1665744888907.6018,GGA,46.0676860,11.1508956
3090,1665744889019.4734,GGA,46.0676860,11.1508956
3092,1665744889107.3074,GGA,46.0676860,11.1508956
3094,1665744889208.3264,GGA,46.0676860,11.1508956
3096,1665744889307.3564,GGA,46.0676860,11.1508956
3098,1665744889407.6946,GGA,46.0676860,11.1508956
